pid,label,company,_date,decade,commentary,object_type,source,source_name,order,layout,collection,thumbnail,manifest
obj18,Bendix G15 Page 8,Bendix,1956,50s,,brochure,Bendix_G15_1956_Page_08,,17,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/obj18/manifest.json
obj171,Dedicated Disk HP Page 2,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_02,,170,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj171/full/250,/0/default.jpg",/img/derivatives/iiif/obj171/manifest.json
obj172,Dedicated Disk HP Page 3,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_03,,171,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj172/full/250,/0/default.jpg",/img/derivatives/iiif/obj172/manifest.json
obj173,Dedicated Disk HP Page 4,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_04,,172,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj173/full/250,/0/default.jpg",/img/derivatives/iiif/obj173/manifest.json
obj174,Dedicated Disk HP Page 5,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_05,,173,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj174/full/250,/0/default.jpg",/img/derivatives/iiif/obj174/manifest.json
obj175,Dedicated Disk HP Page 6,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_06,,174,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj175/full/250,/0/default.jpg",/img/derivatives/iiif/obj175/manifest.json
obj176,Dedicated Disk HP Page 7,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_07,,175,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj176/full/250,/0/default.jpg",/img/derivatives/iiif/obj176/manifest.json
obj177,Dedicated Disk HP Page 8,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_08,,176,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj177/full/250,/0/default.jpg",/img/derivatives/iiif/obj177/manifest.json
obj178,Dedicated Disk HP Page 9,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_09,,177,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj178/full/250,/0/default.jpg",/img/derivatives/iiif/obj178/manifest.json
obj179,Dedicated Disk HP Page 10,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_10,,178,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj179/full/250,/0/default.jpg",/img/derivatives/iiif/obj179/manifest.json
